year,state_name,graduation_rate
2019,Nebraska,87.5
2010,Nevada,62.0
2011,Nevada,63.0
2012,Nevada,70.7
2013,Nevada,70.0
2014,Nevada,71.3
2015,Nevada,73.6
2016,Nevada,80.9
2017,Nevada,83.2
2018,Nevada,84.1
2019,Nevada,82.6
2010,New Hampshire,86.0
2011,New Hampshire,86.0
2012,New Hampshire,87.3
2013,New Hampshire,88.1
2014,New Hampshire,88.1
2015,New Hampshire,88.2
2016,New Hampshire,88.9
2017,New Hampshire,88.8
2018,New Hampshire,88.4
2019,New Hampshire,88.1
2010,New Jersey,83.0
2011,New Jersey,86.0
2012,New Jersey,87.5
2013,New Jersey,88.6
2014,New Jersey,89.7
2015,New Jersey,90.1
2016,New Jersey,90.5
2017,New Jersey,90.9
2018,New Jersey,90.6
2019,New Jersey,91.0
2010,New Mexico,63.0
2011,New Mexico,70.0
2012,New Mexico,70.3
2013,New Mexico,68.5
2014,New Mexico,68.6
2015,New Mexico,71.0
2016,New Mexico,71.1
2017,New Mexico,73.9
2018,New Mexico,75.1
2019,New Mexico,76.9
2010,New York,77.0
2011,New York,77.0
2012,New York,76.8
2013,New York,77.8
2014,New York,79.2
2015,New York,80.4
2016,New York,81.8
2017,New York,82.3
2018,New York,82.8
2019,New York,83.5
2010,North Carolina,78.0
2011,North Carolina,80.0
2012,North Carolina,82.5
2013,North Carolina,83.9
2014,North Carolina,85.6
2015,North Carolina,85.9
2016,North Carolina,86.6
2017,North Carolina,86.3
2018,North Carolina,86.5
2019,North Carolina,87.6
2010,North Dakota,86.0
2011,North Dakota,87.0
2012,North Dakota,87.5
2013,North Dakota,87.2
2014,North Dakota,86.6
2015,North Dakota,87.5
2016,North Dakota,87.2
2017,North Dakota,88.1
2018,North Dakota,88.3
2019,North Dakota,89.0
2010,Ohio,80.0
2011,Ohio,81.0
2012,Ohio,82.2
2013,Ohio,81.8
2014,Ohio,80.7
2015,Ohio,83.5
2016,Ohio,84.2
2017,Ohio,82.1
2018,Ohio,82.0
2019,Ohio,84.4
2012,Oklahoma,84.8
2013,Oklahoma,82.7
2014,Oklahoma,82.5
2015,Oklahoma,81.6
2016,Oklahoma,82.6
2017,Oklahoma,81.8
2018,Oklahoma,84.9
2019,Oklahoma,80.8
2010,Oregon,68.0
2011,Oregon,68.0
2012,Oregon,68.7
2013,Oregon,72.0
2014,Oregon,73.8
2015,Oregon,74.8
2016,Oregon,76.7
2017,Oregon,78.7
2018,Oregon,80.0
2019,Oregon,82.6
2010,Pennsylvania,83.0
2011,Pennsylvania,84.0
2012,Pennsylvania,85.5
2013,Pennsylvania,85.3
2014,Pennsylvania,84.8
2015,Pennsylvania,86.1
2016,Pennsylvania,86.6
2017,Pennsylvania,85.9
2018,Pennsylvania,86.5
2019,Pennsylvania,87.4
2010,Rhode Island,77.0
2011,Rhode Island,77.0
2012,Rhode Island,79.7
2013,Rhode Island,80.8
2014,Rhode Island,83.2
2015,Rhode Island,82.8
2016,Rhode Island,84.1
2017,Rhode Island,84.0
2018,Rhode Island,83.9
2019,Rhode Island,83.6
2010,South Carolina,74.0
2011,South Carolina,75.0
2012,South Carolina,77.6
2013,South Carolina,80.1
2014,South Carolina,80.3
2015,South Carolina,82.6
2016,South Carolina,83.6
2017,South Carolina,81.0
2018,South Carolina,81.1
2019,South Carolina,82.2
2010,South Dakota,83.0
2011,South Dakota,83.0
2012,South Dakota,82.7
